Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type, tipo de decaimento
147.93032876414037, 0.46618049102634906, 0.0031513516864389974, 0.058520991275052385, 3.141592653589793, 67.04143558594197, 144.36755132028776, 0.657635296165953, 0.004555284689334039, 3.5642016340992133, 0.19230805161818088, 0.053955435567489496, 1919.9298974278636, -28.20453471309346, 34.39992982547927, 2, 1
89.11188275418291, 0.753765859685962, 0.008458645877399338, 0.01833677883690474, 3.141592653589793, 18.52987731826488, 52.95186316400926, 0.8122243805392491, 0.015338919766118978, 36.21478980471554, 0.20700642573071845, 0.005716074201920788, 1257.683621865079, 58.82195606553963, -29.06789180900452, 2, 1
86.60105775070164, 1.2479116976817768, 0.014409889787652926, 0.015143238023402342, 3.141592638688632, 122.30205133525293, 36.21478983467332, 0.20700642590195936, 0.005716074201920788, 50.39917903336117, 1.0441836458729536, 0.020718266961883804, 1249.111820302645, 58.80822950439593, -29.107164059653716, 2, 1
56.56820721985284, 0.43762256519687054, 0.007736192937775924, 0.14526545482735118, 3.141592638688632, 33.809214203217515, 50.399179044263164, 1.044183646098824, 0.020718266961883804, 6.2320910308762185, 0.7825035342876874, 0.12556035051652142, 1246.0807722254222, 58.768403826566114, -29.027798934660428, 2, 1
46.586937861807485, 0.3679737673330909, 0.007898646792897717, 0.01765532451372356, 3.141592653589793, 24.98629530949306, 18.190837603939944, 0.1422924019430148, 0.007822201761187498, 28.40373416196761, 0.3862938189536352, 0.013600106829294288, 1280.6646380001341, 45.864983954120405, -33.70026120396203, 2, 1
19.311735547617932, 0.126061128273353, 0.0065276954503916875, 0.034117907387908104, 3.141592653589793, 43.219277569758766, 9.636171239336992, 0.20223825557640177, 0.020987407815131, 9.677644017035167, 0.14581024310925733, 0.015066708679570506, -2018.2915170813033, 37.58676246908563, -55.66688984744224, 2, 1
114.6880523985366, 2.564231019820163, 0.02235830992150393, 0.00992831758651212, 3.141592638688632, 66.06216352145134, 21.7934884540462, 0.6412230448859698, 0.029422689545001213, 93.00143360740772, 1.937688113248616, 0.020835034881594296, -2193.29498843434, 51.49403372930262, 4.725145132037126, 2, 1
131.4991264996584, 0.08446276541569521, 0.0006423066651770849, 0.04542160732993037, 3.141592653589793, 28.309511657486226, 109.14661538094515, 0.9207971779648575, 0.008436332860630422, 22.696089241204525, 0.8393338665521615, 0.03698143136608571, 1098.5976047406814, 7.052168053237619, 22.958756907455353, 2, 1
41.915042284061606, 0.6007013308822005, 0.014331402240064541, 0.05103003928139245, 3.141592653589793, 105.37881693184644, 22.696089239220658, 0.8393338664787954, 0.03698143136608572, 19.229111471640667, 0.29813482892500526, 0.015504347632738944, 1099.1913396039004, 7.028151166446395, 22.950002237081897, 2, 1
39.04826439786439, 0.5188930867672428, 0.01328850577019812, 0.04808561504187057, 3.141592653589793, 90.52783415194375, 19.229111458368724, 0.29813482871923236, 0.015504347632738941, 19.83097987383458, 0.7020391806928533, 0.03540113424345405, 1103.217345264442, 6.97173518114553, 23.049555583934254, 2, 1
27.72258499394902, 1.0366631463891602, 0.03739417325676634, 0.029947981082734096, 3.141592653589793, 281.04260463812494, 11.960923482398226, 0.34620966646556844, 0.028945061556079083, 15.76629902397732, 0.7412325123204799, 0.04701372916961785, 1767.4014470214802, -99.47895592916895, -51.63483205185497, 2, 1
6.900214953145787, 0.13203946194171937, 0.01913555778164896, 0.10203732478268403, 3.141592653589793, 120.98826011180553, 2.453412818431895, 0.1239066869887444, 0.0505038068024523, 4.4562403568195945, 0.2381048316408444, 0.05343177489886993, -1315.4158349636489, -12.821866189763185, 2.1639333664468308, 2, 1
112.04283367578023, 0.5752038235156162, 0.0051337850413538345, 0.06261421437227731, 3.141592627780225, 18.334037753342116, 12.992540296330132, 0.6493123078493693, 0.049975777872536126, 99.37523893700792, 1.2561351077353087, 0.012640322893025182, -916.552801067651, -48.27324890008131, -6.921587780088345, 2, 1
41.10973935698885, 1.232972071389531, 0.02999221329725896, 0.02198175438183938, 3.141592653589793, 211.29214005125766, 29.34030862756733, 1.0177131878723393, 0.034686519517934604, 11.741049186096397, 0.2585096393267866, 0.02201759274059685, 1108.9008368918685, 8.414470226522562, -38.01782660980751, 2, 1
41.47436803782887, 0.6089514299904726, 0.014682596958078942, 0.03843203113087014, 3.1415926325163688, 30.73115979375855, 18.721555209246414, 0.6703202540281941, 0.03580473131298027, 22.623803846730535, 0.09678914702736438, 0.0042781995319214105, 2410.315723793832, -141.21532378296442, -91.20291415620822, 2, 1
38.82598180828047, 0.48596037196503195, 0.01251637046461992, 0.02122489879516623, 3.141592653589793, 195.2391104924841, 22.6238035996194, 0.09845299482441465, 0.0043517437017562745, 16.20625497531076, 0.4006264501166707, 0.0247204829695078, 2484.126092100869, -140.59947347153323, -91.2949979057124, 2, 1
21.512269176301995, 0.5248555643131445, 0.02439796378576964, 0.05156256625125418, 3.141592653589793, 171.88161856078926, 16.206255115936074, 0.4023201320639591, 0.0248249906709383, 5.385200579130464, 0.2653095828727246, 0.049266425451429244, 2440.7458407647946, -140.96683676202971, -90.17196364070087, 2, 1
